AccountID,CompanyName,CompanyRevenue,EmployeeHeadCount,CompanyIndustry,CompanySpecialties,CompanyType,Country,City,Timezone
1000,-X-,3800,12000,Food Production,,Public Company,United States,,EST
1010,1st Source Bank,300,1150,Banking,"Retail Banking, Private Banking, Business Banking, Online Banking and Bill Payment Services, Cash Management Services, Trust and Wealth Management, Investments, Financial Planning, Insurance, Specialty Finance, Agricultural Services",Public Company,United States,South Bend,EST
1020,AMETEK,6600,21500,Electrical & Electronic Manufacturing,,Public Company,United States,Berwyn,EST
1030,ARASCO,2200,4300,Food Production,"Animal Feed Manufacturing, Food Manufacturing, Agro Chemicals and Veterinary Medicine trade, Logistics, Corn Products",Privately Held,Saudi Arabia,Riyadh,AST
1040,AVI-SPL,1200,2200,IT Services and IT Consulting,"AV Systems Integration, Video Communications, Video Conferencing, Telepresence, Design/Build, Control Rooms, Security, Digital Signage, Collaboration Solutions, Video, Unified Communications, Onsite Support, AV/IT, Cloud-based services, Managed Services, Audio, Digital solutions, Workplace technology, experience technolgy, audio visual, voice calling, contact centers",Privately Held,United States,Tampa,EST
1050,Abacus Consulting,200,1800,Information Technology & Services,"Strategy Consulting and Research, Enterprise Resource Planning (ERP) Solutions, Business Process Outsourcing , Human Capital Solutions, Human Resource Outsourcing, Public Sector Development, Financial Advisory Services, Customer Experience Management, Cloud Adoption and Excellence, Digital Transformation, Utilities Transformation, Big Data Solutions",Partnership,Pakistan,Lahore,Asia/Karachi
1060,Abiomed,900,1800,Medical Device,"Cardiovascular Medical Device Manufacturer, Cardiac Surgery Medical Device Manufacturer",Public Company,United States,Danvers,EST
1070,Abt Associates,600,1400,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
1080,Abt Global,800,3000,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
1090,Abu Dhabi National Hotels Compass ME LLC,700,4000,Food & Beverages,"Events, Hospitality, Office Boys, Cleaning, Housekeeping, Catering, Laundry, Pest Control, Healthcare, Education, Oil & Gas, Defense, Support Services, Soft Services, Facilities Management",Partnership,United Arab Emirates,Abu Dhabi,GST
1100,Accion Labs,300,1800,IT Services and IT Consulting,"Cloud, Mobile development, UI/UX design, social media and social commerce, Web 2.0 enablement, Business Intelligence, SaaS, Analytics, Data Warehousing",Privately Held,United States,Bridgeville,EST
1110,Acuity Brands,3300,12000,"Appliances, Electrical, and Electronics Manufacturing","Lighting Fixtures, Lighting Controls, Lighting Solutions, Technology, IoT, Smart Buildings, Internet of Things, Industry Solutions, LED Lighting, Building Automation",Public Company,United States,Atlanta,EST
1120,Address Hotels + Resorts,1200,1500,Hospitality,,Public Company,United Arab Emirates,Dubai,GST
1130,Advanced Bionics,400,1200,Medical Equipment Manufacturing,"Cochlear Implants, Medical Devices, Technology",Public Company,United States,Santa Clarita,EST
1140,Advanced Military Maintenance Repair & Overhaul Center (AMMROC),1000,2200,Airlines and Aviation,,Privately Held,United Arab Emirates,Abu Dhabi,GST
1150,Advocate Condell Medical Center,800,2800,Hospitals and Health Care,,Nonprofit,United States,Libertyville,EST
1160,Advocate Lutheran General Hospital,900,3500,Hospitals and Health Care,,Nonprofit,United States,Park Ridge,EST
1170,Affirm,760,5000,Financial Services,"eCommerce, Payments, Installment Loans, Millennials, Financial Services, Online Payments, Retail, Personal Finance, FinTech, Financial Technology, Financial Management",Public Company,United States,San Francisco,EST
1180,AgileThought,200,2200,IT Services and IT Consulting,"Web & Mobile Application Development, User Interface & Experience Design (UI/UX), SharePoint Solutions, Agile Coaching & Training, Business Intelligence, Cloud Solutions & Managed Services, Application Lifecycle Management; ALM & DevOps, Rapid Prototyping, DevOps, Predictive Analytics, Machine Learning, Cloud, Azure, Agile Transformation, Agile, DevSecOps, Consulting, Automation",Privately Held,United States,Irving,EST
1190,Air Arabia,2300,2000,Airlines and Aviation,,Public Company,United Arab Emirates,Sharjah,GST
1200,Ajman University,150,900,Higher Education,,Educational Institution,United Arab Emirates,Ajman,GST
1210,Al Ahli Bank of Kuwait,900,2000,Banking,"Corporate, Investment, Private, Financing, Retail",Public Company,Kuwait,Safat,AST
1220,Al Ansari Exchange,400,2500,Financial Services,"Foreign Exchange, Remittances, Bill Payments, Wage Disbursal, Credit Card Encashment, Investment & Savings Scheme, Mobile Top Up, Online Remittance",Privately Held,United Arab Emirates,Dubai,GST
1230,Al Ghurair Group,7000,28000,Financial Services,"Manufacturing, Packaging, Real Estate, Metals, Plastics, Shopping Malls, Investments",Privately Held,United Arab Emirates,Dubai,GST
1240,Al Jazeera Media Network,10000,3000,Broadcast Media,"News, Broadcast, Digital, Human Rights",Privately Held,Qatar,Doha,AST
1250,AlMansoori Petroleum Services,500,2200,Oil and Gas,"Colied Tubing & Stimulation, Directional Drilling, Drill Stem Testing, Early Production Facilities, H2S & Safety Services, Inspection (BHA, Coiled Tubing, Lifting Equipment, OCTG, Rigs), Logging & Perforating, Manpower Supply, Oilfield Manufacturing, Representation of Companies, Safety & Technical Training, Slickline, Well Testing, Workover",Privately Held,United Arab Emirates,Abu Dhabi,GST
1260,"Alexion Pharmaceuticals, Inc.",5000,2500,Biotechnology Research,"Biotechnology, Biopharmaceutical, Complement Inhibition, Metabolic Disorders, Neurology, Rare Diseases, Research and Development, hematology, nephrology",Public Company,United States,Boston,EST
